season,round,race_name,race_date,circuit_id,driver_id,driver_code,constructor_id,grid,finish_position,points,status,laps_completed
2021,1,Bahrain Grand Prix,2021-03-28,bahrain,hamilton,HAM,mercedes,2,1,25,Finished,56
2021,1,Bahrain Grand Prix,2021-03-28,bahrain,max_verstappen,VER,red_bull,1,2,18,Finished,56
2021,1,Bahrain Grand Prix,2021-03-28,bahrain,bottas,BOT,mercedes,3,3,16,Finished,56
2021,1,Bahrain Grand Prix,2021-03-28,bahrain,norris,NOR,mclaren,7,4,12,Finished,56
2021,1,Bahrain Grand Prix,2021-03-28,bahrain,perez,PER,red_bull,0,5,10,Finished,56
2021,1,Bahrain Grand Prix,2021-03-28,bahrain,leclerc,LEC,ferrari,4,6,8,Finished,56
2021,1,Bahrain Grand Prix,2021-03-28,bahrain,ricciardo,RIC,mclaren,6,7,6,Finished,56
2021,1,Bahrain Grand Prix,2021-03-28,bahrain,sainz,SAI,ferrari,8,8,4,Finished,56
2021,1,Bahrain Grand Prix,2021-03-28,bahrain,tsunoda,TSU,alphatauri,13,9,2,Finished,56
2021,1,Bahrain Grand Prix,2021-03-28,bahrain,stroll,STR,aston_martin,10,10,1,Finished,56
2021,1,Bahrain Grand Prix,2021-03-28,bahrain,raikkonen,RAI,alfa,14,11,0,Finished,56
2021,1,Bahrain Grand Prix,2021-03-28,bahrain,giovinazzi,GIO,alfa,12,12,0,+1 Lap,55
2021,1,Bahrain Grand Prix,2021-03-28,bahrain,ocon,OCO,alpine,16,13,0,+1 Lap,55
2021,1,Bahrain Grand Prix,2021-03-28,bahrain,russell,RUS,williams,15,14,0,+1 Lap,55
2021,1,Bahrain Grand Prix,2021-03-28,bahrain,vettel,VET,aston_martin,20,15,0,+1 Lap,55
2021,1,Bahrain Grand Prix,2021-03-28,bahrain,mick_schumacher,MSC,haas,18,16,0,+1 Lap,55
2021,1,Bahrain Grand Prix,2021-03-28,bahrain,gasly,GAS,alphatauri,5,17,0,Retired,52
2021,1,Bahrain Grand Prix,2021-03-28,bahrain,latifi,LAT,williams,17,18,0,Retired,51
2021,1,Bahrain Grand Prix,2021-03-28,bahrain,alonso,ALO,alpine,9,19,0,Brakes,32
2021,1,Bahrain Grand Prix,2021-03-28,bahrain,mazepin,MAZ,haas,19,20,0,Accident,0
2021,2,Emilia Romagna Grand Prix,2021-04-18,imola,max_verstappen,VER,red_bull,3,1,25,Finished,63
2021,2,Emilia Romagna Grand Prix,2021-04-18,imola,hamilton,HAM,mercedes,1,2,19,Finished,63
2021,2,Emilia Romagna Grand Prix,2021-04-18,imola,norris,NOR,mclaren,7,3,15,Finished,63
2021,2,Emilia Romagna Grand Prix,2021-04-18,imola,leclerc,LEC,ferrari,4,4,12,Finished,63
2021,2,Emilia Romagna Grand Prix,2021-04-18,imola,sainz,SAI,ferrari,11,5,10,Finished,63
2021,2,Emilia Romagna Grand Prix,2021-04-18,imola,ricciardo,RIC,mclaren,6,6,8,Finished,63
2021,2,Emilia Romagna Grand Prix,2021-04-18,imola,gasly,GAS,alphatauri,5,7,6,Finished,63
2021,2,Emilia Romagna Grand Prix,2021-04-18,imola,stroll,STR,aston_martin,10,8,4,Finished,63
2021,2,Emilia Romagna Grand Prix,2021-04-18,imola,ocon,OCO,alpine,9,9,2,Finished,63
2021,2,Emilia Romagna Grand Prix,2021-04-18,imola,alonso,ALO,alpine,15,10,1,Finished,63
2021,2,Emilia Romagna Grand Prix,2021-04-18,imola,perez,PER,red_bull,2,11,0,Finished,63
2021,2,Emilia Romagna Grand Prix,2021-04-18,imola,tsunoda,TSU,alphatauri,20,12,0,Finished,63
2021,2,Emilia Romagna Grand Prix,2021-04-18,imola,raikkonen,RAI,alfa,16,13,0,Finished,63
2021,2,Emilia Romagna Grand Prix,2021-04-18,imola,giovinazzi,GIO,alfa,17,14,0,+1 Lap,62
2021,2,Emilia Romagna Grand Prix,2021-04-18,imola,vettel,VET,aston_martin,0,15,0,Gearbox,61
2021,2,Emilia Romagna Grand Prix,2021-04-18,imola,mick_schumacher,MSC,haas,18,16,0,+2 Laps,61
